t_s,vx,wz
0.000119872999999604,0,0
0.0108820939999998,0,0
0.0201391009999998,0,0
0.0308905819999996,0,0
0.04012774,0,0
0.0508834199999999,0,0
0.0601159679999999,0,0
0.0708799979999997,0,0
0.0801158559999999,0,0
0.0900941879999997,0,0
0.10013465,0,0
0.110094929,0,0
0.120096517,0,0
0.130096921,0,0
0.14009677,0,0
0.150086162,0,0
0.16009728,0,0
0.170097727,0,0
0.180097647,0,0
0.190093236,0,0
0.200091907,0,0
0.21009131,0,0
0.220092948,0,0
0.230094334,0,0
0.240092858,0,0
0.250099422,0,0
0.260095363,0,0
0.270098947,0,0
0.280090545,0,0
0.290098467,0,0
0.300090656,0,0
0.310098216,0,0
0.320092238,0,0
0.330094609,0,0
0.340098447,0,0
0.350091857,0,0
0.360097141,0,0
0.370090884,0,0
0.380089855,0,0
0.390086754,0,0
0.40009318,0,0
0.410099907,0,0
0.420100168,0,0
0.430093708,0,0
0.440100929,0,0
0.450146602,0,0
0.460046357,0,0
0.470046729,0,0
0.480087401,0,0
0.490048786,0,0
0.500094354,0,0
0.510050589,0,0
0.520052293,0,0
0.530050456,0,0
0.540079817,0,0
0.550043022,0,0
0.560045687,0,0
0.570035472,0,0
0.580038673,0,0
0.590070637,0,0
0.600077251,0,0
0.61004421,0,0
0.620046512,0,0
0.630078331,0,0
0.640049553,0,0
0.650050809,0,0
0.66004971,0,0
0.670039217,0,0
0.680046646,0,0
0.690045539,0,0
0.700084387,0,0
0.710039488,0,0
0.720046792,0,0
0.730042441,0,0
0.740003507,0,0
0.750033449,0,0
0.760000535,0,0
0.770033129,0,0
0.779999749,0,0
0.789984879,0,0
0.799987136,0,0
0.809987598,0,0
0.819949436,0,0
0.829990533,0,0
0.839996551,0,0
0.849947851,0,0
0.859989173,0,0
0.869969132,0,0
0.879991907,0,0
0.889997204,0,0
0.899992819,0,0
0.909953196,0,0
0.919994873,0,0
0.929989529,0,0
0.939947533,0,0
0.949972424,0,0
0.959996015,0,0
0.969983287,0,0
0.979996519,0.00199417490512133,0
0.989986289,0.00697961170226336,-0.00244984682649374
1,0.0129621364176273,-0.00244984636083245
1.009990377,0.0199417471885681,-0.00979938264936209
1.019995274,0.0269213616847992,-0.0122492322698236
1.030009772,0.0348980613052845,-0.0122492322698236
1.039983678,0.043871846050024,-0.0146990800276399
1.049997588,0.0528456345200539,-0.0171489249914885
1.05998731,0.0628165006637573,-0.0171489212661982
1.06993431,0.0747815519571304,-0.0171489212661982
1.079985337,0.0837553441524506,-0.0146990800276399
1.089998083,0.0887407809495926,-0.00734954001381993
1.099991413,0.0947232991456985,-0.00244984054006636
1.10997875,0.0987116545438766,0.0122492304071784
1.119966144,0.103697091341019,0.0195987708866596
1.129929455,0.108682528138161,0.0269483104348183
1.139954124,0.111673787236214,0.0342978499829769
1.149988432,0.115662142634392,0.0440972298383713
1.159948452,0.119650483131409,0.0489969104528427
1.169937256,0.121644660830498,0.0538966096937656
1.179946559,0.12663009762764,0.0563464537262917
1.189932859,0.131615534424782,0.0538966096937656
1.199944361,0.13560388982296,0.0538966208696365
1.209922169,0.141586408019066,0.0489969216287136
1.219946054,0.145574763417244,0.0489969216287136
1.229930415,0.149563103914261,0.0440972410142422
1.239931003,0.154548555612564,0.0416473709046841
1.249931546,0.159533977508545,0.0342978425323963
1.259948497,0.163522332906723,0.0342978611588478
1.269947704,0.167510688304901,0.0293981600552797
1.279914346,0.170501947402954,0.0269482918083668
1.289953543,0.173493206501007,0.0293981600552797
1.299930328,0.175487384200096,0.0244984608143568
1.309928807,0.177481561899185,0.0244984608143568
1.319956344,0.181469917297363,0.0195987801998854
