t_s,vx,wz
0.000442422999999859,0,0
0.0108200019999999,0,0
0.0204153779999999,0,0
0.0308167449999999,0,0
0.0408476739999999,0,0
0.0508520059999999,0,0
0.0608137799999999,0,0
0.0708134869999999,0,0
0.0808071829999999,0,0
0.0908086359999999,0,0
0.100811442,0,0
0.110801426,0,0
0.120809759,0,0
0.130370878,0,0
0.140802186,0,0
0.150803516,0,0
0.160805445,0,0
0.170233075,0,0
0.180798974,0,0
0.190181635,0,0
0.20079826,0,0
0.210793895,0,0
0.220783891,0,0
0.23076563,0,0
0.240792918,0,0
0.250792155,0,0
0.26023716,0,0
0.27079323,0,0
0.280778005,0,0
0.290755823,0,0
0.300229527,0,0
0.310250424,0,0
0.320236515,0,0
0.330745855,0,0
0.340742132,0,0
0.350740258,0,0
0.360203357,0,0
0.370740477,0,0
0.380317985,0,0
0.390226271,0,0
0.400230031,0,0
0.410731917,0,0
0.420217702,0,0
0.430226122,0,0
0.440211317,0,0
0.450215436,0,0
0.460725355,0,0
0.470215008,0,0
0.480212165,0,0
0.490211943,0,0
0.500213049,0,0
0.510723178,0,0
0.520200537,0,0
0.530225421,0,0
0.540207165,0,0
0.550213433,0,0
0.560209331,0,0
0.570197503,0,0
0.580186499,0,0
0.590206477,0,0
0.600201634,0.000997087452560663,0.00244984636083245
0.610197558,0.000997087452560663,0.00244984636083245
0.620199762,0.000997087452560663,0.00244984636083245
0.630153971,0.000997087452560663,0.00244984636083245
0.64014052,0.000997087452560663,0.00244984636083245
0.6501116,0.000997087452560663,0.00244984636083245
0.660132936,0.000997087452560663,0.00244984636083245
0.670120969,0.000997087452560663,0.00244984636083245
0.680119254,0.000997087452560663,0.00244984636083245
0.690085654,0.000997087452560663,0.00244984636083245
0.700107004,0,0
0.71011137,0,0
0.720095138,0,0
0.730051303,0,0
0.740131059,0,0
0.750109157,0,0
0.76013321,0,0
0.77009181,0,0
0.780072346,0,0
0.790054296,0,0
0.800100279,0,0
0.810067066,0,0
0.820079541,0,0
0.830077696,0,0
0.840073058,0,0
0.850047971,0,0
0.86008218,0,0
0.870109329,0,0
0.88009053,0,0
0.890061428,0,0
0.90006447,0,0
0.910069915,0,0
0.920043471,0,0
0.930038274,0,0
0.940039963,0,0
0.95019592,0,0
0.960111244,0.000997087452560663,-0.00244984636083245
0.969992227,0.00398834981024265,-0.00979938544332981
0.980001442,0.00598252424970269,-0.0146990763023496
0.990003726,0.00897378660738468,-0.0220486149191856
1,0.0129621364176273,-0.0318480022251606
1.009981326,0.01695048622787,-0.0367476940155029
1.019992176,0.0189446602016687,-0.0416473858058453
1.03000452,0.0229330100119114,-0.0465470813214779
1.040069711,0.026921359822154,-0.0514467656612396
1.049983047,0.0329038836061954,-0.0563464611768723
1.059992893,0.0368922352790833,-0.0563464611768723
1.070006967,0.0408805832266808,-0.0514467693865299
1.080002958,0.043871846050024,-0.0489969290792942
1.089977261,0.0478601977229118,-0.0391975417733192
1.100007366,0.0508514568209648,-0.0318480059504509
1.109973859,0.0538427233695984,-0.0244984645396471
1.119990204,0.0598252452909946,-0.0195987708866596
1.129999393,0.0638135969638824,-0.0146990707144141
1.140006252,0.0668048560619354,-0.00734953070059419
1.150003024,0.0687990337610245,-0.00244984054006636
1.160006733,0.0717902928590775,0
1.169997276,0.0737844705581665,0.00489969039335847
1.180002282,0.0767757296562195,0.00734954001381993
1.190006373,0.077772818505764,0.00979938078671694
1.199963889,0.0787699073553085,0.0122492304071784
1.209999633,0.080764077603817,0.0122492304071784
1.219990257,0.0817611664533615,0.0146990800276399
1.229965856,0.0817611664533615,0.0195987708866596
1.239997026,0.0847524255514145,0.0171489212661982
1.249960727,0.0857495218515396,0.0195987708866596
1.259962789,0.0887407809495926,0.0220486111938953
1.269990474,0.0887407809495926,0.0220486111938953
1.27999795,0.0897378697991371,0.0244984608143568
1.289998494,0.0927291288971901,0.0220486111938953
1.299965543,0.0947232991456985,0.0220486205071211
1.310027569,0.0967174768447876,0.0220486205071211
1.319998012,0.0977145731449127,0.0195987708866596
1.330001849,0.100705832242966,0.0171489212661982
1.339998517,0.10170291364193,0.0195987708866596
1.349960399,0.103697091341019,0.0195987708866596
1.360003928,0.104694172739983,0.0171489212661982
1.36999123,0.106688350439072,0.0171489212661982
1.380265832,0.108682528138161,0.0171489305794239
1.389996741,0.109679616987705,0.0146990800276399
1.399997661,0.111673787236214,0.0146990707144141
1.409967159,0.113667964935303,0.0146990800276399
1.420031925,0.116659224033356,0.0122492304071784
1.430045387,0.116659224033356,0.0122492304071784
1.439960714,0.118653401732445,0.0122492304071784
1.449916978,0.120647579431534,0.00734954001381993
1.459975537,0.121644660830498,0.00979939009994268
1.469974031,0.123638838529587,0.00489969924092293
1.479927235,0.12663009762764,0.00244984962046146
1.48997543,0.127627193927765,0.00489968108013272
1.500000114,0.128624275326729,0.00244983145967126
1.509997408,0.128624275326729,0.00244983145967126
1.519993657,0.130618453025818,0.00734953070059419
1.529993011,0.134606808423996,0.00244984962046146
1.539992441,0.13560388982296,0
1.550006399,0.136600971221924,0.00244984962046146
1.559967135,0.137598067522049,0
1.569975699,0.139592230319977,0
1.579998028,0.140589326620102,0.00244984962046146
1.58998665,0.14258348941803,-0.00244984962046146
1.600000727,0.14457768201828,0.00244984962046146
1.609998225,0.146571844816208,-0.00244984962046146
1.619985049,0.146571844816208,-0.00734953070059419
1.629997725,0.147568941116333,-0.00489968108013272
1.639990922,0.148566022515297,-0.00734953070059419
1.650000202,0.151557296514511,-0.00979938078671694
1.659993406,0.152554377913475,-0.0122492304071784
1.669997735,0.153551459312439,-0.00979939848184586
1.679989018,0.154548555612564,-0.0171489119529724
1.689990489,0.156542718410492,-0.0171489305794239
1.700001824,0.157539814710617,-0.0244984608143568
1.709994224,0.158536896109581,-0.0220486298203468
1.719987739,0.16053107380867,-0.0220486298203468
1.729989843,0.161528155207634,-0.0244984608143568
1.739991035,0.163522332906723,-0.0244984608143568
1.749990513,0.163522332906723,-0.0244984608143568
1.759987463,0.165516510605812,-0.0293981600552797
1.76995142,0.167510688304901,-0.0293981600552797
1.77997629,0.168507784605026,-0.0269483104348183
1.789979156,0.168507784605026,-0.0269483104348183
1.79997799,0.170501947402954,-0.0269482918083668
1.809981557,0.171499043703079,-0.0293981414288282
1.81998475,0.173493206501007,-0.0293981600552797
1.829951253,0.174490302801132,-0.0269483104348183
1.839995152,0.175487384200096,-0.0293981600552797
1.849998741,0.17648446559906,-0.0269483104348183
1.85996625,0.17847865819931,-0.0220486111938953
1.869988734,0.179475739598274,-0.0244984608143568
1.879990178,0.181469902396202,-0.0244984608143568
1.889991089,0.182466983795166,-0.0269483104348183
1.899992716,0.184461176395416,-0.0220486111938953
1.909992033,0.186455339193344,-0.0220486111938953
1.919992979,0.186455339193344,-0.0220486111938953
1.929989895,0.189446613192558,-0.0244984608143568
1.940003308,0.189446598291397,-0.0195987801998854
1.94999034,0.191440790891647,-0.0195987801998854
1.959995169,0.19243785738945,-0.0220486111938953
1.969986996,0.1944320499897,-0.0220486111938953
1.979995793,0.196426212787628,-0.0220486111938953
1.989982753,0.198420390486717,-0.0171489305794239
1.999987665,0.197423309087753,-0.0146990800276399
2.009983723,0.202408745884895,-0.0220486298203468
2.019998405,0.202408745884895,-0.0171489305794239
2.029984021,0.202408745884895,-0.0171489305794239
2.039991442,0.205400019884109,-0.0146990800276399
2.049997699,0.207394182682037,-0.0146990800276399
2.059994129,0.208391264081001,-0.0122492304071784
2.06997983,0.21038544178009,-0.0122492304071784
2.079996986,0.209388345479965,-0.00979938078671694
2.089994743,0.211382538080215,-0.00979938078671694
2.099997553,0.215370893478394,-0.0146990800276399
2.109986163,0.213376700878143,-0.00489968108013272
2.1199949,0.216367959976196,-0.00734954932704568
2.129987315,0.217365056276321,-0.00489969924092293
2.139995899,0.219359219074249,-0.00979938078671694
2.149921157,0.219359219074249,-0.00979938078671694
2.159823328,0.220356315374374,-0.00734953070059419
2.169996338,0.2213534116745,-0.00489968108013272
2.179987875,0.223347574472427,-0.00489968108013272
2.189998438,0.224344670772552,-0.00244984962046146
2.199984002,0.225341752171516,0
2.209985643,0.227335929870605,0
2.220000787,0.229330107569695,0
2.229906876,0.230327188968658,0.00244984962046146
2.239992512,0.231324285268784,0.00489968108013272
2.249991816,0.234315544366837,0.00734953070059419
2.259849753,0.23730680346489,0.00489969924092293
2.269954229,0.23730680346489,0.00489969924092293
2.279997363,0.240298062562943,0.00734953070059419
2.289990448,0.242292240262032,0.00244983145967126
2.299986027,0.242292240262032,0.00244983145967126
2.309886041,0.244286417961121,0.00244984962046146
2.319984393,0.245283499360085,0.00489969924092293
2.329991434,0.247277677059174,0
2.339987655,0.248274773359299,-0.00244984962046146
2.349991579,0.249271854758263,-0.00489969924092293
2.359813636,0.250268936157227,-0.00244984962046146
2.369987883,0.252263128757477,-0.00244983145967126
2.379995001,0.252263128757477,-0.00734954932704568
2.389889398,0.254257291555405,-0.00734953070059419
2.399984713,0.256251454353333,-0.00734953070059419
2.409989885,0.256251454353333,-0.00734953070059419
2.419980218,0.258245646953583,-0.0122492304071784
2.429997094,0.261236906051636,-0.00979939848184586
2.439974729,0.263231068849564,-0.00979939848184586
