t_s,vx,wz
0.00997900899999993,0,0
0.0199931249999999,0,0
0.029981544,0,0
0.039987805,0,0
0.05000706,0,0
0.0599947199999999,0,0
0.069954439,0,0
0.0799986029999999,0,0
0.0899802559999999,0,0
0.099993114,0,0
0.109958454,0,0
0.119986258,0,0
0.129955737,0,0
0.139992595,0,0
0.149953252,0,0
0.159994814,0,0
0.169963401,0,0
0.180002095,0,0
0.189977029,0,0
0.200000685,0,0
0.20997483,0,0
0.219988781,0,0
0.229990412,0,0
0.239984373,0,0
0.249989322,0,0
0.260004845,0,0
0.269988126,0,0
0.280016383,0,0
0.289955229,0,0
0.300007225,0,0
0.309952467,0,0
0.320031565,0,0
0.329957133,0,0
0.34000973,0,0
0.349986534,0,0
0.359973526,0,0
0.370007123,0,0
0.379951684,0,0
0.389917452,0,0
0.399985086,0,0
0.409981625,0,0
0.419985083,0,0
0.429988253,0,0
0.439997269,0,0
0.449904776,0,0
0.459996063,0,0
0.470000006,0,0
0.479990663,0,0
0.489987919,0,0
0.499984289,0,0
0.509982083,0,0
0.519959668,0,0
0.529957721,0,0
0.539995766,0,0
0.549905787,0,0
0.559998347,0,0
0.569992559,0,0
0.580005259,0,0
0.58995713,0,0
0.59999873,0,0
0.609959543,0.000997087452560663,0.00244984636083245
0.619999082,0.000997087452560663,0.00244984636083245
0.629961258,0.000997087452560663,0.00244984636083245
0.640006327,0.000997087452560663,0.00244984636083245
0.650005591,0.000997087452560663,0.00244984636083245
0.659963291,0.000997087452560663,0.00244984636083245
0.670007814,0.000997087452560663,0.00244984636083245
0.679960201,0.000997087452560663,0.00244984636083245
0.690007454,0.000997087452560663,0.00244984636083245
0.699981831,0.000997087452560663,0.00244984636083245
0.709985599,0,0
0.719956019,0,0
0.729991205,0,0
0.739963202,0,0
0.749991706,0,0
0.759960566,0,0
0.770010101,0,0
0.779956822,0,0
0.789990381,0,0
0.799968605,0,0
0.809994039,0,0
0.819957425,0,0
0.829990092,0,0
0.839990188,0,0
0.849947461,0,0
0.859948883,0,0
0.869986467,0,0
0.879985374,0,0
0.889953595,0,0
0.899987674,0.000997087452560663,0.00244984636083245
0.909966958,0.000997087452560663,0.00244984636083245
0.919986302,0.000997087452560663,0.00244984636083245
0.929960288,0.000997087452560663,0.00244984636083245
0.939998751,0.000997087452560663,0.00244984636083245
0.94980839,0.00199417490512133,0.00489969272166491
0.959957074,0.00299126212485135,0.00734953815117478
0.96999429,0.00398834981024265,0.00489969179034233
0.979953386,0.00697961216792464,0.00734953908249736
0.989992482,0.00897378660738468,0.00734953815117478
1,0.011965049430728,0.00489969132468104
1.009990226,0.0179475732147694,0.00489969272166491
1.019953152,0.0249271839857101,0.00244984752498567
1.029992892,0.0319067984819412,0
1.039991014,0.038886409252882,-0.00244984962046146
1.049862183,0.0448689311742783,-0.00244984519667923
1.059988513,0.0528456345200539,-0.00734953535720706
1.069989898,0.0608223341405392,-0.00734954001381993
1.079956969,0.0668048560619354,-0.00734953070059419
1.089992599,0.0747815519571304,-0.00734954001381993
1.099983818,0.0807640850543976,-0.00734954001381993
1.109947906,0.0847524255514145,-0.00734954001381993
1.119982372,0.0877436921000481,-0.00489969924092293
1.129991066,0.0917320400476456,0
1.139990332,0.0967174768447876,0.00244984962046146
1.149957161,0.100705832242966,0.00244984054006636
1.159950911,0.10170291364193,0.00979939009994268
1.169990479,0.105691269040108,0.00979939009994268
1.179956252,0.106688350439072,0.0122492304071784
1.190009972,0.109679616987705,0.0146990800276399
1.199988015,0.111673787236214,0.0195987708866596
1.209952073,0.113667964935303,0.0195987615734339
1.219987603,0.114665053784847,0.0220486111938953
1.230005636,0.115662142634392,0.0244984608143568
1.239993263,0.116659224033356,0.0220486205071211
1.249953222,0.116659224033356,0.0220486205071211
1.259985911,0.118653401732445,0.0171489305794239
1.269987946,0.117656320333481,0.0195987708866596
1.279947595,0.119650490581989,0.0146990800276399
1.289993848,0.118653401732445,0.0122492304071784
1.299959238,0.119650483131409,0.00489969039335847
1.309992992,0.119650483131409,0.00489969039335847
1.31995841,0.122641749680042,0.00244984962046146
1.330003572,0.122641749680042,-0.00244984962046146
1.339985433,0.123638838529587,0
1.349835243,0.123638838529587,0
1.359986681,0.124635927379131,-0.00244984962046146
1.369998379,0.125633016228676,0
1.379975392,0.12663009762764,-0.00244984962046146
1.390004128,0.128624275326729,-0.00244983145967126
1.399984735,0.127627193927765,0
1.409990505,0.129621356725693,0
1.419970736,0.129621356725693,0
1.430002673,0.131615534424782,0
1.439988164,0.131615534424782,0
1.449905778,0.134606808423996,-0.00244984962046146
1.459992695,0.13560388982296,0
1.469997388,0.136600971221924,-0.00244984962046146
1.479993966,0.137598067522049,0
1.490002577,0.137598067522049,0
1.499988889,0.141586408019066,0
1.509985285,0.141586408019066,0
1.520001841,0.143580585718155,0
1.529946968,0.14457768201828,-0.00244984962046146
1.540003205,0.145574763417244,0
1.550001608,0.147568941116333,0
1.559994339,0.149563103914261,0
1.570002414,0.15155728161335,0
1.579985785,0.153551459312439,0
1.589986927,0.155545637011528,0
1.600005896,0.155545637011528,0
1.609983365,0.158536911010742,0.00244984962046146
1.620010569,0.159533992409706,0
1.630004887,0.161528155207634,0
1.63998095,0.163522332906723,0
1.649959524,0.165516510605812,0
1.65999357,0.165516510605812,0
