t_s,Fx_left,Fy_left,Fz_left,Fx_right,Fy_right,Fz_right
0.00418059299999995,-0.0516000017523766,-0.0817000046372414,-0.303400009870529,-0.00860000029206276,-0.0301000010222197,-0.0720000043511391
0.0141744479999999,-0.116100005805492,-0.0989000052213669,-0.319799989461899,-0.034400001168251,-0.0386999994516373,-0.0400000028312206
0.0241791859999999,-0.0903000012040138,-0.0989000052213669,-0.352600008249283,-0.00860000029206276,-0.0386999994516373,-0.0240000002086163
0.0341998019999999,-0.0989000052213669,-0.0860000029206276,-0.278800010681152,0.0258000008761883,-0.0386999994516373,-0.0400000028312206
0.04418521,-0.107500001788139,-0.103200003504753,-0.352600008249283,0.0172000005841255,-0.0301000010222197,-0.0480000004172325
0.054191892,-0.0946000069379807,-0.0989000052213669,-0.442800015211105,-0.00860000029206276,-0.0386999994516373,-0.0320000015199184
0.064464758,-0.120400004088879,-0.0860000029206276,-0.418200016021729,-0.0258000008761883,-0.0215000007301569,-0.0320000015199184
0.0741790649999999,-0.120400004088879,-0.0731000006198883,-0.401800006628036,-0.0301000010222197,-0.0386999994516373,-0.0880000069737434
0.0841922159999999,-0.111800000071526,-0.0773999989032745,-0.409999996423721,0.0129000004380941,-0.00860000029206276,-0.0400000028312206
0.0941703269999999,-0.172000005841255,-0.0989000052213669,-0.467400014400482,-0.00860000029206276,-0.0215000007301569,-0.0480000004172325
0.10417518,-0.0989000052213669,-0.0731000006198883,-0.401800006628036,-0.0258000008761883,-0.0258000008761883,-0.0480000004172325
0.114132838,-0.111800000071526,-0.0903000012040138,-0.401800006628036,0.00430000014603138,-0.0172000005841255,-0.0400000028312206
0.124171702,-0.14190000295639,-0.0860000029206276,-0.418200016021729,0.0301000010222197,-0.0215000007301569,0.0160000007599592
0.134172709,-0.0817000046372414,-0.0946000069379807,-0.401800006628036,-0.00430000014603138,-0.00430000014603138,-0.0560000017285347
0.144154207,-0.116100005805492,-0.0773999989032745,-0.368999987840652,-0.0258000008761883,-0,-0.0160000007599592
0.154127965,-0.137600004673004,-0.0860000029206276,-0.409999996423721,-0.0129000004380941,-0.00430000014603138,-0.0320000015199184
0.164151713,-0.0773999989032745,-0.103200003504753,-0.352600008249283,0.0129000004380941,-0.0386999994516373,-0.00800000037997961
0.174167141,-0.103200003504753,-0.0989000052213669,-0.385399997234344,-0.0129000004380941,-0.0386999994516373,-0.0560000017285347
0.184153081,-0.0989000052213669,-0.103200003504753,-0.434599995613098,-0.0386999994516373,-0.034400001168251,-0.0640000030398369
0.194170465,-0.0903000012040138,-0.0860000029206276,-0.37720000743866,0.00430000014603138,-0.0172000005841255,-0.0320000015199184
0.204185159,-0.124700002372265,-0.0946000069379807,-0.401800006628036,0.0129000004380941,-0.0301000010222197,-0.0880000069737434
0.214167211,-0.0989000052213669,-0.0903000012040138,-0.344399988651276,0.0172000005841255,-0.0301000010222197,-0.0240000002086163
0.224172358,-0.116100005805492,-0.103200003504753,-0.426400005817413,-0.0215000007301569,-0.00860000029206276,-0.0480000004172325
0.234171774,-0.107500001788139,-0.111800000071526,-0.409999996423721,-0.034400001168251,-0.0129000004380941,-0.0720000043511391
0.244165516,-0.0773999989032745,-0.0817000046372414,-0.37720000743866,-0.0129000004380941,0.0215000007301569,-0.0480000004172325
0.254148758,-0.14190000295639,-0.0860000029206276,-0.426400005817413,-0.0172000005841255,0.0129000004380941,-0.0320000015199184
0.264093096,-0.111800000071526,-0.107500001788139,-0.368999987840652,-0.0559000000357628,0.0559000000357628,-0.0320000015199184
0.274116849,-0.107500001788139,-0.111800000071526,-0.418200016021729,-0.0645000040531158,0.0516000017523766,-0.0240000002086163
0.284110714,-0.129000008106232,-0.0903000012040138,-0.401800006628036,-0.0215000007301569,0.0860000029206276,-0
0.294077617,-0.0817000046372414,-0.0773999989032745,-0.385399997234344,-0.0386999994516373,0.0860000029206276,-0.0240000002086163
0.304105552,-0.103200003504753,-0.0903000012040138,-0.393599987030029,-0.0645000040531158,0.0860000029206276,-0
0.314158685,-0.120400004088879,-0.0860000029206276,-0.434599995613098,-0.0731000006198883,0.129000008106232,-0.0160000007599592
0.324116,-0.0989000052213669,-0.0946000069379807,-0.409999996423721,-0.0516000017523766,0.116100005805492,0.0400000028312206
0.334103241,-0.133300006389618,-0.107500001788139,-0.393599987030029,-0.0602000020444393,0.0946000069379807,-0
0.344092806,-0.107500001788139,-0.0903000012040138,-0.37720000743866,-0.0817000046372414,0.0817000046372414,0.0480000004172325
0.3541214,-0.0989000052213669,-0.0731000006198883,-0.401800006628036,-0.0688000023365021,0.107500001788139,0.0800000056624413
0.364078404,-0.116100005805492,-0.0860000029206276,-0.393599987030029,-0.0516000017523766,0.116100005805492,0.0480000004172325
0.374108572,-0.0860000029206276,-0.120400004088879,-0.393599987030029,-0.0301000010222197,0.124700002372265,0.0720000043511391
0.384083282,-0.137600004673004,-0.111800000071526,-0.442800015211105,-0.034400001168251,0.0989000052213669,0.104000002145767
0.394108015,-0.120400004088879,-0.0645000040531158,-0.360799998044968,-0.0516000017523766,0.0989000052213669,0.128000006079674
0.404108181,-0.0860000029206276,-0.103200003504753,-0.401800006628036,-0.0430000014603138,0.111800000071526,0.136000007390976
0.414088035,-0.116100005805492,-0.0903000012040138,-0.37720000743866,-0.0258000008761883,0.120400004088879,0.208000004291534
0.424105129,-0.0946000069379807,-0.0989000052213669,-0.434599995613098,-0.0473000034689903,0.124700002372265,0.256000012159348
0.434081837,-0.0946000069379807,-0.0817000046372414,-0.393599987030029,-0.0817000046372414,0.129000008106232,0.320000022649765
0.444055203,-0.137600004673004,-0.0903000012040138,-0.409999996423721,-0.0645000040531158,0.154799997806549,0.400000005960464
0.454115123,-0.107500001788139,-0.0645000040531158,-0.434599995613098,0.0172000005841255,0.159100010991096,0.544000029563904
0.464143418,-0.120400004088879,-0.0473000034689903,-0.352600008249283,0.0645000040531158,0.176300004124641,0.784000039100647
0.474102581,-0.120400004088879,-0.0559000000357628,-0.26240000128746,0.14190000295639,0.184900000691414,1.02400004863739
0.484107322,-0.0946000069379807,0.00860000029206276,-0.0328000001609325,0.258000016212463,0.232200011610985,1.21600008010864
0.494102694,-0.189200013875961,0.0473000034689903,0.139400005340576,0.382700026035309,0.279500007629395,1.36000001430511
0.504104006,-0.240800008177757,0.0645000040531158,0.37720000743866,0.374099999666214,0.219300001859665,1.44800007343292
0.514103284,-0.292400002479553,0.0473000034689903,0.598600029945374,0.331100016832352,0.26230001449585,1.47200012207031
0.524106048,-0.266600012779236,0.0860000029206276,0.836400032043457,0.24940000474453,0.283800005912781,1.44000005722046
0.534112129,-0.163400009274483,0.133300006389618,1.00039994716644,0.240800008177757,0.348300009965897,1.47200012207031
0.544139991,-0.150499999523163,0.0989000052213669,1.18900001049042,0.223600000143051,0.374099999666214,1.57600009441376
0.554134463,-0.116100005805492,0.129000008106232,1.45959997177124,0.180600002408028,0.40420001745224,1.71200013160706
0.564086619,-0.116100005805492,0.146200001239777,1.80400002002716,0.206400007009506,0.421400010585785,1.9760000705719
0.57407907,-0.184900000691414,0.215000003576279,2.12380003929138,0.279500007629395,0.503100037574768,2.40800023078918
0.584075206,-0.24940000474453,0.240800008177757,2.47639989852905,0.348300009965897,0.554700016975403,2.89600014686584
