cutoff_Hz,residual_rms
1,0.00525519712599062
2,0.00293680281288817
3,0.0017848531410519
4,0.00122698373257009
5,0.000938790624493649
6,0.00078586958067877
7,0.000702546267893377
8,0.000655467035381593
9,0.000626879797985688
10,0.000607244015504183
11,0.000591715346993028
12,0.000578078201204089
13,0.000565470269157273
14,0.000553631634397673
15,0.000542498549285679
16,0.000532013602711485
17,0.000522063973937771
18,0.000512487610928337
19,0.00050310709650415
20,0.000493766178416196
