t_s,vx_raw,vx_filt
0.000442422999999859,0,4.75100609967576e-12
0.0108200019999999,0,6.64575954389485e-12
0.0204153779999999,0,8.3633244716282e-12
0.0308167449999999,0,9.2835009024019e-12
0.0408476739999999,0,8.46896530377286e-12
0.0508520059999999,0,4.64729286603873e-12
0.0608137799999999,0,-3.73127881671405e-12
0.0708134869999999,0,-1.83108311535918e-11
0.0808071829999999,0,-4.04634285439454e-11
0.0908086359999999,0,-7.06812965130175e-11
0.100811442,0,-1.07684983883414e-10
0.110801426,0,-1.47245665216083e-10
0.120809759,0,-1.80795972651477e-10
0.130370878,0,-1.94025389994929e-10
0.140802186,0,-1.6582929472288e-10
0.150803516,0,-6.82023650380892e-11
0.160805445,0,1.32081214135785e-10
0.170233075,0,4.68919122788339e-10
0.180798974,0,9.68231475222439e-10
0.190181635,0,1.63403309581852e-09
0.20079826,0,2.42847272989865e-09
0.210793895,0,3.24607671770537e-09
0.220783891,0,3.88421699841647e-09
0.23076563,0,4.01459096430459e-09
0.240792918,0,3.16434888740729e-09
0.250792155,0,7.20316493149475e-10
0.26023716,0,-4.02494417064626e-09
0.27079323,0,-1.17617381180684e-08
0.280778005,0,-2.29605550832502e-08
0.290755823,0,-3.75546509843601e-08
0.300229527,0,-5.44954791922873e-08
0.310250424,0,-7.11924796998534e-08
0.320236515,0,-8.28901284411093e-08
0.330745855,0,-8.20977955974545e-08
0.340742132,0,-5.82731116447009e-08
0.350740258,0,1.93660471032733e-09
0.360203357,0,1.13479903047969e-07
0.370740477,0,2.90206262854149e-07
0.380317985,0,5.40149113073288e-07
0.390226271,0,8.58329278834245e-07
0.400230031,0,1.2169022631895e-06
0.410731917,0,1.55304376737895e-06
0.420217702,0,1.7559232974951e-06
0.430226122,0,1.65552663265414e-06
0.440211317,0,1.01796255997803e-06
0.450215436,0,-4.45883320880943e-07
0.460725355,0,-3.04920728054552e-06
0.470215008,0,-7.06476708071479e-06
0.480212165,0,-1.26157966466874e-05
0.490211943,0,-1.95136672341945e-05
0.500213049,0,-2.70406202298101e-05
0.510723178,0,-3.36894075255615e-05
0.520200537,0,-3.68936013924023e-05
0.530225421,0,-3.28139562249274e-05
0.540207165,0,-1.62872614413565e-05
0.550213433,0,1.89084309607942e-05
0.560209331,0,7.92719035287524e-05
0.570197503,0,0.00017004802539138
0.580186499,0,0.000292719875052798
0.590206477,0,0.000441364829131293
0.600201634,0.000997087452560663,0.000600369392070403
0.610197558,0.000997087452560663,0.000748746642830932
0.620199762,0.000997087452560663,0.000869110738120695
0.630153971,0.000997087452560663,0.000952040302416163
0.64014052,0.000997087452560663,0.000993954798332776
0.6501116,0.000997087452560663,0.000993883845362282
0.660132936,0.000997087452560663,0.000951817650690086
0.670120969,0.000997087452560663,0.000868710029250597
0.680119254,0.000997087452560663,0.00074813434281201
0.690085654,0.000997087452560663,0.000599521413701842
0.700107004,0,0.00044029139118244
0.71011137,0,0.000291499062340466
0.720095138,0,0.000168866974770757
0.730051303,0,7.84716867946137e-05
0.740131059,0,1.90242899882885e-05
0.750109157,0,-1.45047086060224e-05
0.76013321,0,-2.84182719480911e-05
0.77009181,0,-2.88323453432122e-05
0.780072346,0,-2.10001095931687e-05
0.790054296,0,-9.19091246243641e-06
0.800100279,0,3.08287445508611e-06
0.810067066,0,1.26655801962428e-05
0.820079541,0,1.63323592760991e-05
0.830077696,0,1.047184306234e-05
0.840073058,0,-8.98796246996652e-06
0.850047971,0,-4.62652653655487e-05
0.86008218,0,-0.000104865689600578
0.870109329,0,-0.000186028233235288
0.88009053,0,-0.000286367339434602
0.890061428,0,-0.000394708690031201
0.90006447,0,-0.000488316516375691
0.910069915,0,-0.000529032457110377
0.920043471,0,-0.000460308089727563
0.930038274,0,-0.000206709544677804
0.940039963,0,0.000321844376491443
0.95019592,0,0.00121819144117127
0.960111244,0.000997087452560663,0.00255751387377295
0.969992227,0.00398834981024265,0.00437752119850629
0.980001442,0.00598252424970269,0.00667399804370947
0.990003726,0.00897378660738468,0.00941030408022298
1,0.0129621364176273,0.0125283983985135
1.009981326,0.01695048622787,0.0159626277422175
1.019992176,0.0189446602016687,0.0196558338001413
1.03000452,0.0229330100119114,0.0235602227065295
1.040069711,0.026921359822154,0.0276202927191155
1.049983047,0.0329038836061954,0.0317623944845639
1.059992893,0.0368922352790833,0.0359082293072568
1.070006967,0.0408805832266808,0.0400000614622814
1.080002958,0.043871846050024,0.0440129660891395
