t_s,vx_filt,a,a_raw
0.329957133,1.33513309922229e-07,1.24809132978571e-05,0
0.34000973,2.81261911452162e-07,1.72785863386165e-05,0
0.349986534,4.795930444115e-07,2.22999778317955e-05,0
0.359973526,7.26454119690649e-07,2.64499112985767e-05,0
0.370007123,1.00913584760676e-06,2.86678760767009e-05,0
0.379951684,1.2991854774754e-06,2.70007122498418e-05,0
0.389917452,1.54672891173544e-06,1.87525834554925e-05,0
0.399985086,1.67486352037783e-06,1.42078559226089e-06,0
0.409981625,1.57523579965447e-06,-2.84193228713359e-05,0
0.419985083,1.10647714820908e-06,-7.38470170148204e-05,0
0.429988253,9.7806001329291e-08,-0.000137202849446761,0
0.439997269,-1.63925179464951e-06,-0.000220186136309634,0
0.449904776,-4.28753624676268e-06,-0.000317335572312574,0
0.459996063,-7.98558053420077e-06,-0.000422119975663484,0
0.470000006,-1.27701342453148e-05,-0.000525740940859399,0
0.479990663,-1.84975603503081e-05,-0.000599063325823157,0
0.489987919,-2.47441598833587e-05,-0.000609792141420059,0
0.499984289,-3.06895163635999e-05,-0.000512594326851129,0
0.509982083,-3.49930549198898e-05,-0.000249955564441561,0
0.519959668,-3.5682473496479e-05,0.000245773151017059,0
0.529957721,-3.00835794250537e-05,0.00104054619587462,0
0.539995766,-1.4833987942408e-05,0.00220805775908577,0
0.549905787,1.39629024850014e-05,0.00375992273937968,0
0.559998347,6.03741712057758e-05,0.00567649211959999,0
0.569992559,0.000127985305451203,0.0079225871720003,0
0.580005259,0.000218880675568315,0.0102284290383482,0
0.58995713,0.000332191503205768,0.0121690684628343,0
0.59999873,0.000462182592977007,0.0132505498225482,0.0498483584235895
0.609959543,0.000597234473233453,0.0130150955874829,0.0498534952065177
0.619999082,0.000722489086040311,0.011390237842533,0
0.629961258,0.000825058764342014,0.00871166543197778,0
0.640006327,0.000896785510695922,0.00540886906039568,0
0.650005591,0.000933475936941982,0.00183610410842462,0
0.659963291,0.000933428574288004,-0.00183979953028606,0
0.670007814,0.000896675856461905,-0.00542302764959385,0
0.679960201,0.000824984778451564,-0.0087031725858992,0
0.690007454,0.000722615537886052,-0.0113473285846861,0
0.699981831,0.000597792764040555,-0.0129716699752215,-0.0499089105900803
0.709985599,0.00046346563422893,-0.013179707376872,-0.0499187978285108
0.719956019,0.000334538811109928,-0.0120375253905216,0
0.729991205,0.000222647644051159,-0.0100488414247802,0
0.739963202,0.00013348980178637,-0.0077415131587792,0
0.749991706,6.78135023774828e-05,-0.00551045099587281,0
0.759960566,2.32953074177392e-05,-0.00358968551258851,0
0.770010101,-4.04624013929152e-06,-0.00210850721795637,0
0.779956822,-1.88669426903644e-05,-0.00109223659052596,0
0.789990381,-2.58694330442455e-05,-0.000528340728137664,0
0.799968605,-2.94399826919173e-05,-0.000379159620735892,0
0.809994039,-3.3454012424856e-05,-0.000586308186838257,0
0.819957425,-4.11595915031536e-05,-0.00108042217185315,0
0.829990092,-5.50581914356067e-05,-0.0017748758160474,0
0.839990188,-7.67152580804628e-05,-0.00257506423889077,0
0.849947461,-0.000106449698649854,-0.00331470568304627,0
0.859948883,-0.00014287245782315,-0.0037837514980188,0
0.869986467,-0.000182272317621162,-0.00374378613765186,0
0.879985374,-0.000217884795076136,-0.00284758251570036,0
0.889953595,-0.000239130362202713,-0.000588446404555724,0.0498486400344291
0.899987674,-0.000229655076593981,0.00386483448093916,0.0498210846703107
0.909966958,-0.000161782026800761,0.012028769200524,0
0.919986302,1.09038039451546e-05,0.0259428190871848,0
0.929960288,0.000356901316339621,0.047611904226366,0
0.939998751,0.000963734609068188,0.0793086515487547,0.0502359093358482
0.94980839,0.00193102752176176,0.120224080617767,0.099916945541501
0.959957074,0.00336320564241563,0.169990163683978,0.0987904876731437
0.96999429,0.00536243196687019,0.232864772881214,0.199454281523177
0.979953386,0.00801964229475754,0.302118236697083,0.249294376068698
0.989992482,0.0114042504710399,0.37574349323555,0.248692236145384
1,0.0155520270666622,0.452329077424139,0.448739948235397
1.009990226,0.020449811565124,0.524978730362305,0.649628417353914
1.019953152,0.0260270074703483,0.585669998179349,0.697868237522524
1.029992892,0.0321647729249262,0.633270510076876,0.696642449537379
1.039991014,0.0387163945599383,0.672355910091198,0.652370167226261
