t_s,vx_raw,vx_filt
0.000119872999999604,0,-3.39689881215434e-14
0.0108820939999998,0,-3.30529293997006e-14
0.0201391009999998,0,-2.52181545647543e-14
0.0308905819999996,0,-7.08312615997333e-15
0.04012774,0,2.51581085361803e-14
0.0508834199999999,0,7.53121371968051e-14
0.0601159679999999,0,1.464640656906e-13
0.0708799979999997,0,2.39884195977274e-13
0.0801158559999999,0,3.53509813521897e-13
0.0900941879999997,0,4.79991273039037e-13
0.10013465,0,6.04366668059399e-13
0.110094929,0,7.01545109708382e-13
0.120096517,0,7.33941654332718e-13
0.130096921,0,6.49819532118832e-13
0.14009677,0,3.83152084166801e-13
0.150086162,0,-1.43899960007266e-13
0.16009728,0,-1.01452567385555e-12
0.170097727,0,-2.30523772515151e-12
0.180097647,0,-4.06665058602635e-12
0.190093236,0,-6.29564826761312e-12
0.200091907,0,-8.89816545243533e-12
0.21009131,0,-1.16430414917637e-11
0.220092948,0,-1.41094246060805e-11
0.230094334,0,-1.56331712351713e-11
0.240092858,0,-1.52617078551397e-11
0.250099422,0,-1.17318784299971e-11
0.260095363,0,-3.49115756151589e-12
0.270098947,0,1.12112807097277e-11
0.280090545,0,3.41317673589401e-11
0.290098467,0,6.6702626870414e-11
0.300090656,0,1.09532289819172e-10
0.310098216,0,1.61710023573485e-10
0.320092238,0,2.19909765590112e-10
0.330094609,0,2.773217966676e-10
0.340098447,0,3.22493893410999e-10
0.350091857,0,3.38238231620625e-10
0.360097141,0,3.00857800561961e-10
0.370090884,0,1.80064010667545e-10
0.380089855,0,-5.99124700783183e-11
0.390086754,0,-4.57388829349166e-10
0.40009318,0,-1.04774970739411e-09
0.410099907,0,-1.85466686610854e-09
0.420100168,0,-2.87736343344635e-09
0.430093708,0,-4.07355676630754e-09
0.440100929,0,-5.33827673106271e-09
0.450146602,0,-6.47967761432375e-09
0.460046357,0,-7.19431943411376e-09
0.470046729,0,-7.04623734904983e-09
0.480087401,0,-5.45643789421142e-09
0.490048786,0,-1.712153260223e-09
0.500094354,0,4.99199920991062e-09
0.510050589,0,1.54663133400752e-08
0.520052293,0,3.0375640772281e-08
0.530050456,0,5.00108410838143e-08
0.540079817,0,7.39703913184497e-08
0.550043022,0,1.00749370385198e-07
0.560045687,0,1.2724865631357e-07
0.570035472,0,1.48241353633813e-07
0.580038673,0,1.55867635896899e-07
0.590070637,0,1.39273887791046e-07
0.600077251,0,8.45661888318851e-08
0.61004421,0,-2.46918282492168e-08
0.620046512,0,-2.06148168846871e-07
0.630078331,0,-4.76165180173183e-07
0.640049553,0,-8.45808940115944e-07
0.650050809,0,-1.31502169666138e-06
0.66004971,0,-1.86480494634295e-06
0.670039217,0,-2.44749703246776e-06
0.680046646,0,-2.97564986790033e-06
0.690045539,0,-3.31063039271394e-06
0.700084387,0,-3.25291672415485e-06
0.710039488,0,-2.53712353816521e-06
0.720046792,0,-8.36028940090282e-07
0.730042441,0,2.22082716869543e-06
0.740003507,0,7.00724953555118e-06
0.750033449,0,1.38317858668371e-05
0.760000535,0,2.28332368940969e-05
0.770033129,0,3.38348576936428e-05
0.779999749,0,4.61558565223608e-05
0.789984879,0,5.83859224070379e-05
0.799987136,0,6.81395636731861e-05
0.809987598,0,7.1822681563433e-05
0.819949436,0,6.44642976454202e-05
0.829990533,0,3.96912253691475e-05
0.839996551,0,-1.00489160256893e-05
0.849947851,0,-9.28839180685303e-05
0.859989173,0,-0.000216379090738425
0.869969132,0,-0.000385705400546677
0.879991907,0,-0.000600973012449447
0.889997204,0,-0.000853649071941284
0.899992819,0,-0.00112209527732479
0.909953196,0,-0.0013664528895854
0.919994873,0,-0.00152338689261152
0.929989529,0,-0.00150158784679538
0.939947533,0,-0.0011794184626288
0.949972424,0,-0.000406660868018474
0.959996015,0,0.000987081420911276
0.969983287,0,0.00317423873952837
0.979996519,0.00199417490512133,0.0063006118130783
0.989986289,0.00697961170226336,0.0104547075603314
1,0.0129621364176273,0.0156507662297525
1.009990377,0.0199417471885681,0.0218316952390425
1.019995274,0.0269213616847992,0.0288823518681896
1.030009772,0.0348980613052845,0.036641062279844
1.039983678,0.043871846050024,0.0449064183859675
1.049997588,0.0528456345200539,0.0534440178365757
1.05998731,0.0628165006637573,0.0619973353930419
1.06993431,0.0747815519571304,0.070307568057586
1.079985337,0.0837553441524506,0.0781489872899192
1.089998083,0.0887407809495926,0.0853690824857335
1.099991413,0.0947232991456985,0.0919062142562174
