t_s,vx_filt,a,a_raw
0.000119872999999604,-3.39689881215434e-14,8.51179995135565e-14,0
0.0108820939999998,-3.30529293997006e-14,4.37121429297324e-13,0
0.0201391009999998,-2.52181545647543e-14,1.29793931654044e-12,0
0.0308905819999996,-7.08312615997333e-15,2.52024478009404e-12,0
0.04012774,2.51581085361803e-14,4.12123898351886e-12,0
0.0508834199999999,7.53121371968051e-14,6.06886999459984e-12,0
0.0601159679999999,1.464640656906e-13,8.2300110939217e-12,0
0.0708799979999997,2.39884195977274e-13,1.03523453646989e-11,0
0.0801158559999999,3.53509813521897e-13,1.24963413530189e-11,0
0.0900941879999997,4.79991273039037e-13,1.25310672829492e-11,0
0.10013465,6.04366668059399e-13,1.10772814201905e-11,0
0.110094929,7.01545109708382e-13,6.49112561832613e-12,0
0.120096517,7.33941654332718e-13,-2.58602131175485e-12,0
0.130096921,6.49819532118832e-13,-1.75392566366994e-11,0
0.14009677,3.83152084166801e-13,-3.97073351672581e-11,0
0.150086162,-1.43899960007266e-13,-6.98821059074169e-11,0
0.16009728,-1.01452567385555e-12,-1.08004434692851e-10,0
0.170097727,-2.30523772515151e-12,-1.52603445335318e-10,0
0.180097647,-4.06665058602635e-12,-1.9956533952007e-10,0
0.190093236,-6.29564826761312e-12,-2.41645095462847e-10,0
0.200091907,-8.89816545243533e-12,-2.67395411385645e-10,0
0.21009131,-1.16430414917637e-11,-2.60549396086192e-10,0
0.220092948,-1.41094246060805e-11,-1.99476326349836e-10,0
0.230094334,-1.56331712351713e-11,-5.76144217178577e-11,0
0.240092858,-1.52617078551397e-11,1.95015028435476e-10,0
0.250099422,-1.17318784299971e-11,5.88453810841382e-10,0
0.260095363,-3.49115756151589e-12,1.1471852026348e-09,0
0.270098947,1.12112807097277e-11,1.88159952334797e-09,0
0.280090545,3.41317673589401e-11,2.77463389924789e-09,0
0.290098467,6.6702626870414e-11,3.77000519948274e-09,0
0.300090656,1.09532289819172e-10,4.7504294530432e-09,0
0.310098216,1.61710023573485e-10,5.51843728015815e-09,0
0.320092238,2.19909765590112e-10,5.78163137192368e-09,0
0.330094609,2.773217966676e-10,5.12761452311564e-09,0
0.340098447,3.22493893410999e-10,3.04624091040052e-09,0
0.350091857,3.38238231620625e-10,-1.08187528890826e-09,0
0.360097141,3.00857800561961e-10,-7.90909582516589e-09,0
0.370090884,1.80064010667545e-10,-1.80450873573383e-08,0
0.380089855,-5.99124700783183e-11,-3.18792250608107e-08,0
0.390086754,-4.57388829349166e-10,-4.93836518336722e-08,0
0.40009318,-1.04774970739411e-09,-6.98179860394498e-08,0
0.410099907,-1.85466686610854e-09,-9.14487341149122e-08,0
0.420100168,-2.87736343344635e-09,-1.1097889291781e-07,0
0.430093708,-4.07355676630754e-09,-1.23040983171408e-07,0
0.440100929,-5.33827673106271e-09,-1.19988708264065e-07,0
0.450146602,-6.47967761432375e-09,-9.30560478848108e-08,0
0.460046357,-7.19431943411376e-09,-2.84701567344812e-08,0
0.470046729,-7.04623734904983e-09,8.67161181773933e-08,0
0.480087401,-5.45643789421142e-09,2.66676776734854e-07,0
0.490048786,-1.712153260223e-09,5.22240298366375e-07,0
0.500094354,4.99199920991062e-09,8.5884590505657e-07,0
0.510050589,1.54663133400752e-08,1.27185685668096e-06,0
0.520052293,3.0375640772281e-08,1.72723787331881e-06,0
0.530050456,5.00108410838143e-08,2.17674189511239e-06,0
0.540079817,7.39703913184497e-08,2.5378697912706e-06,0
0.550043022,1.00749370385198e-07,2.66846698867218e-06,0
0.560045687,1.2724865631357e-07,2.37549591213758e-06,0
0.570035472,1.48241353633813e-07,1.4314509890283e-06,0
0.580038673,1.55867635896899e-07,-4.47586323485084e-07,0
0.590070637,1.39273887791046e-07,-3.55820892405709e-06,0
